设备大类,产品系列,空调,型号,匹数,电源,制冷量(kW),制冷输入功率(kW),制热量(kW),输入功率(kW),尺寸(H*D*W)(mm),系列最大冷量
室内机,中静压,暗藏管道式_中静压_内置排水泵,CS-ME18DIEX8,2,单相220V/50Hz,5.6,,6.3,,,16
室内机,中静压,暗藏管道式_中静压_内置排水泵,CS-ME23DIEX8,2.5,单相220V/50Hz,6.3,,7.5,,,16
室内机,中静压,暗藏管道式_中静压_内置排水泵,CS-ME27DIEX8,3,单相220V/50Hz,7.3,,8,,,16
室内机,中静压,暗藏管道式_中静压_内置排水泵,CS-ME28DIEX8,3.2,单相220V/50Hz,8,,9,,,16
室内机,中静压,暗藏管道式_中静压_内置排水泵,CS-ME32DIEX8,3.5,单相220V/50Hz,9,,10.5,,,16
室内机,中静压,暗藏管道式_中静压_内置排水泵,CS-ME34DIEX8,3.6,单相220V/50Hz,9.3,,10.7,,,16
室内机,中静压,暗藏管道式_中静压_内置排水泵,CS-ME35DIEX8,3.7,单相220V/50Hz,10,,11.2,,,16
室内机,中静压,暗藏管道式_中静压_内置排水泵,CS-ME36DIEX8,4,单相220V/50Hz,10.6,,11.4,,,16
室内机,中静压,暗藏管道式_中静压_内置排水泵,CS-ME38DIEX8,4.2,单相220V/50Hz,11.2,,12.5,,,16
室内机,中静压,暗藏管道式_中静压_内置排水泵,CS-ME45DIEX8,5,单相220V/50Hz,12.5,,14,,,16
室内机,中静压,暗藏管道式_中静压_内置排水泵,CS-ME54DIEX8,6,单相220V/50Hz,14,,16,,,16
室内机,中静压,暗藏管道式_中静压_内置排水泵,CS-ME60DIEX8,6.7,单相220V/50Hz,16,,18,,,16
室内机,中静压,暗藏管道式_中静压,CS-ME7DIEX7,0.8,单相220V/50Hz,2.2,,2.5,,,16
室内机,中静压,暗藏管道式_中静压,CS-ME9DIEX7,1,单相220V/50Hz,2.8,,3.2,,,16
室内机,中静压,暗藏管道式_中静压,CS-ME12DIEX7,1.5,单相220V/50Hz,3.6,,4.2,,,16
室内机,中静压,暗藏管道式_中静压,CS-ME14DIEX7,1.6,单相220V/50Hz,4,,4.5,,,16
室内机,中静压,暗藏管道式_中静压,CS-ME16DIEX7,1.8,单相220V/50Hz,4.5,,5,,,16
室内机,中静压,暗藏管道式_中静压,CS-ME17DIEX7,1.9,单相220V/50Hz,5,,5.6,,,16
室内机,中静压,暗藏管道式_中静压,CS-ME18DIEX7,2,单相220V/50Hz,5.6,,6.3,,,16
室内机,中静压,暗藏管道式_中静压,CS-ME23DIEX7,2.5,单相220V/50Hz,6.3,,7.5,,,16
室内机,中静压,暗藏管道式_中静压,CS-ME27DIEX7,3,单相220V/50Hz,7.3,,8,,,16
室内机,中静压,暗藏管道式_中静压,CS-ME28DIEX7,3.2,单相220V/50Hz,8,,9,,,16
室内机,中静压,暗藏管道式_中静压,CS-ME32DIEX7,3.5,单相220V/50Hz,9,,10.5,,,16
室内机,中静压,暗藏管道式_中静压,CS-ME35DIEX7,3.7,单相220V/50Hz,10,,11.2,,,16
室内机,中静压,暗藏管道式_中静压,CS-ME38DIEX7,4.2,单相220V/50Hz,11.2,,12.5,,,16
室内机,中静压,暗藏管道式_中静压,CS-ME45DIEX7,5,单相220V/50Hz,12.5,,14,,,16
室内机,中静压,暗藏管道式_中静压,CS-ME54DIEX7,6,单相220V/50Hz,14,,16,,,16
室内机,中静压,暗藏管道式_中静压,CS-ME60DIEX7,6.7,单相220V/50Hz,16,,18,,,16
室外机,S7,变频多联室外机_侧出风S7,CU-ME27BS7,3,单相220V/50Hz,8.4,,,,900*320*786,35
室外机,S7,变频多联室外机_侧出风S7,CU-ME36BS7,4,单相220V/50Hz,11.2,,,,1100*390*805,35
室外机,S7,变频多联室外机_侧出风S7,CU-ME45BS7,5,单相220V/50Hz,14,,,,1100*390*805,35
室外机,S7,变频多联室外机_侧出风S7,CU-ME54BS7,6,单相220V/50Hz,15.6,,,,1100*390*805,35
室外机,S7,变频多联室外机_侧出风S7,CU-ME58BS7,6.5,单相220V/50Hz,18,,,,980*370*1500,35
室外机,S7,变频多联室外机_侧出风S7,CU-ME63BS7,7,单相220V/50Hz,20,,,,980*370*1500,35
室外机,S7,变频多联室外机_侧出风S7,CU-ME72BS7,8,单相220V/50Hz,22.4,,,,980*370*1500,35
室外机,S7,变频多联室外机_侧出风S7,CU-ME81BSY7,9,三相380V/50Hz,25.2,,,,980*370*1500,35
室外机,S7,变频多联室外机_侧出风S7,CU-ME90BSY7,10,三相380V/50Hz,28.2,,,,980*370*1500,35
室外机,S7,变频多联室外机_侧出风S7,CU-ME100BSY7,11,三相380V/50Hz,30,,,,1100*390*1626,35
室外机,S7,变频多联室外机_侧出风S7,CU-ME108BSY7,12,三相380V/50Hz,33.5,,,,1100*390*1626,35
室外机,S7,变频多联室外机_侧出风S7,CU-ME115BSY7,13,三相380V/50Hz,35,,,,1100*390*1626,35
室外机,S7,变频多联室外机_侧出风S7,CU-ME36BS7N,4,单相220V/50Hz,8.4,,,,900*350*1340,14
室外机,S7,变频多联室外机_侧出风S7,CU-ME45BS7N,5,单相220V/50Hz,11.2,,,,900*350*1340,14
室外机,S7,变频多联室外机_侧出风S7,CU-ME54BS7N,6,单相220V/50Hz,14,,,,900*350*1340,14
室外机,S7,变频多联室外机_侧出风S7,CU-ME58BYS7,6.5,三相380V/50Hz,18,,,,980*370*1500,22.4
室外机,S7,变频多联室外机_侧出风S7,CU-ME63BYS7,7,三相380V/50Hz,20,,,,980*370*1500,22.4
室外机,S7,变频多联室外机_侧出风S7,CU-ME72BYS7,8,三相380V/50Hz,22.4,,,,980*370*1500,22.4
室外机,S7R,变频多联室外机_侧出风S7R,CU-ME36BS7R,4,单相220V/50Hz,11.2,2.65,12.5,2.55,940*340*996,18
室外机,S7R,变频多联室外机_侧出风S7R,CU-ME40BS7R,4.5,单相220V/50Hz,12.5,3.3,14,2.9,940*340*996,18
室外机,S7R,变频多联室外机_侧出风S7R,CU-ME45BS7R,5,单相220V/50Hz,14,3.85,16,3.55,940*340*996,18
室外机,S7R,变频多联室外机_侧出风S7R,CU-ME54BS7R,6,单相220V/50Hz,15.5,4.8,17,3.9,940*340*996,18
室外机,S7R,变频多联室外机_侧出风S7R,CU-ME58BS7R,6.5,单相220V/50Hz,18,6,19,4.3,980*370*996,18
室外机,S7J,变频多联室外机_侧出风S7J,CU-ME27BS7J,3,单相220V/50Hz,8.4,,,,900*320*786,35
室外机,S7J,变频多联室外机_侧出风S7J,CU-ME36BS7J,4,单相220V/50Hz,11.2,,,,1100*390*805,35
室外机,S7J,变频多联室外机_侧出风S7J,CU-ME45BS7J,5,单相220V/50Hz,14,,,,1100*390*805,35
室外机,S7J,变频多联室外机_侧出风S7J,CU-ME54BS7J,6,单相220V/50Hz,15.6,,,,1100*390*805,35
室外机,S7J,变频多联室外机_侧出风S7J,CU-ME36BS7NJ,4,单相220V/50Hz,8.4,,,,900*350*1340,14
室外机,S7J,变频多联室外机_侧出风S7J,CU-ME45BS7NJ,5,单相220V/50Hz,11.2,,,,900*350*1340,14
室外机,S7J,变频多联室外机_侧出风S7J,CU-ME54BS7NJ,6,单相220V/50Hz,14,,,,900*350*1340,14
室外机,S7J,变频多联室外机_侧出风S7J,CU-ME58BS7J,6.5,单相220V/50Hz,18,,,,980*370*1500,35
室外机,S7J,变频多联室外机_侧出风S7J,CU-ME63BS7J,7,单相220V/50Hz,20,,,,980*370*1500,35
室外机,S7J,变频多联室外机_侧出风S7J,CU-ME72BS7J,8,单相220V/50Hz,22.4,,,,980*370*1500,35
室外机,S7J,变频多联室外机_侧出风S7J,CU-ME58BYS7J,6.5,三相380V/50Hz,18,,,,980*370*1500,22.4
室外机,S7J,变频多联室外机_侧出风S7J,CU-ME63BYS7J,7,三相380V/50Hz,20,,,,980*370*1500,22.4
室外机,S7J,变频多联室外机_侧出风S7J,CU-ME72BYS7J,8,三相380V/50Hz,22.4,,,,980*370*1500,22.4
室外机,S7J,变频多联室外机_侧出风S7J,CU-ME81BYS7J,9,三相380V/50Hz,25.2,,,,980*370*1500,35
室外机,S7J,变频多联室外机_侧出风S7J,CU-ME90BYS7J,10,三相380V/50Hz,28.2,,,,980*370*1500,35
室外机,S7J,变频多联室外机_侧出风S7J,CU-ME100BYS7J,11,三相380V/50Hz,30,,,,1100*390*1626,35
室外机,S7J,变频多联室外机_侧出风S7J,CU-ME108BYS7J,12,三相380V/50Hz,33.5,,,,1100*390*1626,35
室外机,S7J,变频多联室外机_侧出风S7J,CU-ME115BYS7J,13,三相380V/50Hz,35,,,,1100*390*1626,35
室外机,S7RJ,变频多联室外机_侧出风S7RJ,CU-ME36BS7RJ,4,单相220V/50Hz,11.2,2.65,12.5,2.55,940*340*996,18
室外机,S7RJ,变频多联室外机_侧出风S7RJ,CU-ME40BS7RJ,4.5,单相220V/50Hz,12.5,3.3,14,2.9,940*340*996,18
室外机,S7RJ,变频多联室外机_侧出风S7RJ,CU-ME45BS7RJ,5,单相220V/50Hz,14,3.85,16,3.55,940*340*996,18
室外机,S7RJ,变频多联室外机_侧出风S7RJ,CU-ME54BS7RJ,6,单相220V/50Hz,15.5,4.8,17,3.9,940*340*996,18
室外机,S7RJ,变频多联室外机_侧出风S7RJ,CU-ME58BS7RJ,6.5,单相220V/50Hz,18,6,19,4.3,980*370*996,18
室外机,S7P,变频多联室外机_侧出风S7P,CU-ME36BS7P,4,单相220V/50Hz,11.2,2.92,12.5,2.68,940*340*996,15.5
室外机,8H,家用多联G系列_8H,CU-ME8B1YS8Z,8,,24.5,,27,,,113
室外机,8H,家用多联G系列_8H,CU-ME10B1YS8Z,10,,28,,31.5,,,113
室外机,8H,家用多联G系列_8H,CU-ME12B1YS8Z,12,,33.5,,37.5,,,113
室外机,8H,家用多联G系列_8H,CU-ME14B1YS8Z,14,,40,,45,,,113
室外机,8H,家用多联G系列_8H,CU-ME16B1YS8Z,16,,45,,50,,,113
室外机,8H,家用多联G系列_8H,CU-ME18B1YS8Z,18,,50.4,,56,,,113
室外机,8H,家用多联G系列_8H,CU-ME20B1YS8Z,20,,56,,63,,,113
室外机,8H,家用多联G系列_8H,CU-ME22B1YS8Z,22,,62.4,,70,,,113
室外机,8H,家用多联G系列_8H,CU-ME24B1YS8Z,24,,68,,76.5,,,113
室外机,8H,家用多联G系列_8H,CU-ME26B1YS8Z,26,,73.5,,82.5,,,113
室外机,8H,家用多联G系列_8H,CU-ME28B1YS8Z,28,,80,,90,,,113
室外机,8H,家用多联G系列_8H,CU-ME30B1YS8Z,30,,85,,95,,,113
室外机,8H,家用多联G系列_8H,CU-ME32B1YS8Z,32,,90,,100,,,113
室外机,8H,家用多联G系列_8H,CU-ME34B1YS8Z,34,,96,,108,,,113
室外机,8H,家用多联G系列_8H,CU-ME36B1YS8Z,36,,101,,113,,,113
室外机,8H,家用多联G系列_8H,CU-ME38B1YS8Z,38,,107,,119,,,113
室外机,8H,家用多联G系列_8H,CU-ME40B1YS8Z,40,,113,,127,,,113
A2W,A2W,A2W水力模块,CS-MN6WKS1,6,单相220V/50Hz,16,,16,0.15,330*520*890,
A2W,A2W,A2W水力模块,CS-MN6WKS1E,6,单相220V/50Hz,16,,16,0.15,330*520*890,
A2W,A2W,A2W水力模块,CS-MN8WKS1,8,单相220V/50Hz,22.4,,22.4,0.19,330*520*890,
A2W,A2W,A2W水力模块,CS-MN8WKS1E,8,单相220V/50Hz,22.4,,22.4,0.19,330*520*890,
A2W,A2W,A2W水力模块,CS-MN10WKS1,10,单相220V/50Hz,28,,28,0.2,330*520*890,
A2W,A2W,A2W水力模块,CS-MN10WKS1E,10,单相220V/50Hz,28,,28,0.2,330*520*890,
空调线控器,空调线控器,空调线控器,CZ-RD504DX1,,,,,,,,
空调线控器,空调线控器,空调线控器,CZ-RD504DX2,,,,,,,,
空调线控器,空调线控器,空调线控器,CZ-RD506DX2,,,,,,,,
空调线控器,空调线控器,空调线控器,CZ-RD602DX2,,,,,,,,
空调线控器,空调线控器,空调线控器,CZ-RD603DX1,,,,,,,,
空调线控器,空调线控器,空调线控器,CZ-559DW,,,,,,,,
3D面板,3D面板,3D面板,CZ-BF3W,,,,,,,,
3D面板,3D面板,3D面板,CZ-BF4W,,,,,,,,
空调网关,空调网关,空调网关,CZ-TA30X2,,,,,,,,
